time	I(I1)
0.000000000000000e+000	0.000000e+000
9.999999837751590e-018	0.000000e+000
1.999999967550318e-017	0.000000e+000
3.999999935100636e-017	0.000000e+000
7.999999870201272e-017	0.000000e+000
1.599999974040254e-016	0.000000e+000
3.199999948080509e-016	0.000000e+000
6.399999896161018e-016	0.000000e+000
1.279999979232204e-015	0.000000e+000
2.559999958464407e-015	0.000000e+000
1.023999983385763e-014	0.000000e+000
1.023999983385763e-013	0.000000e+000
1.945599968432950e-013	0.000000e+000
2.867199953480137e-013	0.000000e+000
3.788799938527324e-013	0.000000e+000
4.710399923574510e-013	0.000000e+000
5.631999908621698e-013	0.000000e+000
6.553599893668882e-013	0.000000e+000
3.320411416419301e-012	0.000000e+000
5.985462843471714e-012	0.000000e+000
8.650514270524127e-012	0.000000e+000
1.131556569757654e-011	0.000000e+000
1.398061712462895e-011	0.000000e+000
1.664566855168137e-011	0.000000e+000
1.931071997873377e-011	0.000000e+000
2.873929140730520e-011	0.000000e+000
3.816786283587663e-011	0.000000e+000
4.759643426444806e-011	0.000000e+000
5.702500569301949e-011	0.000000e+000
6.645357712159091e-011	0.000000e+000
7.588214855016235e-011	0.000000e+000
8.531071997873376e-011	0.000000e+000
9.045357712159088e-011	0.000000e+000
9.559643426444802e-011	0.000000e+000
1.007392914073052e-010	0.000000e+000
1.058821485501623e-010	0.000000e+000
1.110250056930194e-010	0.000000e+000
1.161678628358765e-010	0.000000e+000
1.213107199787337e-010	0.000000e+000
1.265964342644479e-010	0.000000e+000
1.318821485501622e-010	0.000000e+000
1.371678628358765e-010	0.000000e+000
1.424535771215907e-010	0.000000e+000
1.477392914073050e-010	0.000000e+000
1.530250056930193e-010	0.000000e+000
1.583107199787335e-010	0.000000e+000
1.643107199787335e-010	0.000000e+000
1.703107199787335e-010	0.000000e+000
1.763107199787335e-010	0.000000e+000
1.823107199787334e-010	0.000000e+000
1.883107199787334e-010	0.000000e+000
1.943107199787334e-010	0.000000e+000
2.003107199787334e-010	0.000000e+000
2.073107199787334e-010	0.000000e+000
2.143107199787333e-010	0.000000e+000
2.213107199787333e-010	0.000000e+000
2.283107199787333e-010	0.000000e+000
2.353107199787333e-010	0.000000e+000
2.423107199787333e-010	0.000000e+000
2.493107199787332e-010	0.000000e+000
2.557392914073046e-010	0.000000e+000
2.621678628358760e-010	0.000000e+000
2.685964342644475e-010	0.000000e+000
2.750250056930189e-010	0.000000e+000
2.814535771215903e-010	0.000000e+000
2.878821485501617e-010	0.000000e+000
2.943107199787331e-010	0.000000e+000
3.015964342644473e-010	0.000000e+000
3.088821485501616e-010	0.000000e+000
3.161678628358759e-010	0.000000e+000
3.234535771215901e-010	0.000000e+000
3.307392914073044e-010	0.000000e+000
3.380250056930186e-010	0.000000e+000
3.453107199787329e-010	0.000000e+000
3.538821485501614e-010	0.000000e+000
3.624535771215900e-010	0.000000e+000
3.710250056930185e-010	0.000000e+000
3.795964342644471e-010	0.000000e+000
